,plot,native,distance,lat,long,rich
166,3980,adventive,0.06335629,41.455896,-81.660931,8
167,3980,native,0.06335629,41.455896,-81.660931,13
,3732,adventive,0.130443313,41.389006,-81.694219,0
143,3732,native,0.130443313,41.389006,-81.694219,18
144,3668,adventive,0.139832221,41.379483,-81.694029,5
145,3668,native,0.139832221,41.379483,-81.694029,32
134,3596,adventive,0.135512017,41.384453,-81.697726,1
135,3596,native,0.135512017,41.384453,-81.697726,17
158,3484,adventive,0.128199613,41.390583,-81.689232,1
159,3484,native,0.128199613,41.390583,-81.689232,19
141,3420,adventive,0.141537528,41.37812,-81.696407,7
142,3420,native,0.141537528,41.37812,-81.696407,22
271,3409,adventive,0.247699122,41.572914,-81.432538,5
272,3409,native,0.247699122,41.572914,-81.432538,19
214,3396,adventive,0.180813648,41.372827,-81.566096,5
215,3396,native,0.180813648,41.372827,-81.566096,42
312,3389,adventive,0.279051855,41.442415,-81.405392,10
313,3389,native,0.279051855,41.442415,-81.405392,47
130,3386,adventive,0.296695189,41.222292,-81.699654,1
131,3386,native,0.296695189,41.222292,-81.699654,16
263,3385,adventive,0.244399277,41.56705,-81.434644,6
264,3385,native,0.244399277,41.56705,-81.434644,22
97,3381,adventive,0.24117592,41.293794,-81.763216,12
98,3381,native,0.24117592,41.293794,-81.763216,35
314,3377,adventive,0.287254148,41.418293,-81.404607,8
315,3377,native,0.287254148,41.418293,-81.404607,28
241,3376,adventive,0.148943959,41.549979,-81.528602,2
242,3376,native,0.148943959,41.549979,-81.528602,18
,3370,adventive,0.306064794,41.214834,-81.716927,0
113,3370,native,0.306064794,41.214834,-81.716927,53
,3369,adventive,0.252078999,41.562425,-81.425934,0
283,3369,native,0.252078999,41.562425,-81.425934,14
212,3368,adventive,0.194340514,41.356028,-81.566472,4
213,3368,native,0.194340514,41.356028,-81.566472,44
22,3367,adventive,0.237787522,41.39979,-81.880438,5
23,3367,native,0.237787522,41.39979,-81.880438,36
80,3365,adventive,0.245064793,41.3057,-81.796669,2
81,3365,native,0.245064793,41.3057,-81.796669,37
249,3364,adventive,0.223488512,41.417649,-81.474294,1
250,3364,native,0.223488512,41.417649,-81.474294,15
194,3362,adventive,0.228478785,41.305288,-81.590337,5
195,3362,native,0.228478785,41.305288,-81.590337,33
124,1388,adventive,0.140642537,41.380083,-81.702194,3
125,1388,native,0.140642537,41.380083,-81.702194,17
,1376,adventive,0.138800918,41.380962,-81.696831,0
138,1376,native,0.138800918,41.380962,-81.696831,18
86,1199,adventive,0.242238298,41.305322,-81.790229,3
87,1199,native,0.242238298,41.305322,-81.790229,39
1,1198,adventive,0.306030333,41.43784,-81.969424,7
2,1198,native,0.306030333,41.43784,-81.969424,32
105,1197,adventive,0.30882549,41.213599,-81.726831,1
106,1197,native,0.30882549,41.213599,-81.726831,44
237,1196,adventive,0.19279955,41.382512,-81.536761,15
238,1196,native,0.19279955,41.382512,-81.536761,33
12,1195,adventive,0.264081146,41.487631,-81.936389,26
13,1195,native,0.264081146,41.487631,-81.936389,53
111,1194,adventive,0.317008189,41.204008,-81.718527,14
112,1194,native,0.317008189,41.204008,-81.718527,45
267,1192,adventive,0.259914803,41.418807,-81.433754,7
268,1192,native,0.259914803,41.418807,-81.433754,52
225,1191,adventive,0.177887446,41.385756,-81.554936,9
226,1191,native,0.177887446,41.385756,-81.554936,40
38,1190,adventive,0.235823568,41.355131,-81.844708,15
39,1190,native,0.235823568,41.355131,-81.844708,59
196,1189,adventive,0.228451057,41.305852,-81.588993,16
197,1189,native,0.228451057,41.305852,-81.588993,86
216,1187,adventive,0.192553203,41.358568,-81.565896,13
217,1187,native,0.192553203,41.358568,-81.565896,49
259,1184,adventive,0.243302663,41.568073,-81.435977,3
260,1184,native,0.243302663,41.568073,-81.435977,15
253,1183,adventive,0.234646856,41.413889,-81.463701,7
254,1183,native,0.234646856,41.413889,-81.463701,23
20,1182,adventive,0.234016572,41.412314,-81.882899,2
21,1182,native,0.234016572,41.412314,-81.882899,23
162,1180,adventive,0.088097902,41.429984,-81.668085,10
163,1180,native,0.088097902,41.429984,-81.668085,29
69,1179,adventive,0.237738054,41.32446,-81.812278,8
70,1179,native,0.237738054,41.32446,-81.812278,30
4,1178,adventive,0.314249314,41.405851,-81.967648,1
5,1178,native,0.314249314,41.405851,-81.967648,33
298,1177,adventive,0.263654952,41.571186,-81.415836,11
299,1177,native,0.263654952,41.571186,-81.415836,38
,1176,adventive,0.266259659,41.417193,-81.427558,0
277,1176,native,0.266259659,41.417193,-81.427558,29
,1175,adventive,0.186925774,41.373555,-81.555254,0
224,1175,native,0.186925774,41.373555,-81.555254,30
30,1174,adventive,0.232890635,41.389781,-81.868542,6
31,1174,native,0.232890635,41.389781,-81.868542,34
192,1173,adventive,0.216190128,41.317688,-81.592429,29
193,1173,native,0.216190128,41.317688,-81.592429,43
200,1171,adventive,0.184888491,41.355218,-81.586155,8
201,1171,native,0.184888491,41.355218,-81.586155,53
170,1169,adventive,0.204411065,41.322435,-81.61417,4
171,1169,native,0.204411065,41.322435,-81.61417,47
306,1168,adventive,0.262404967,41.527863,-81.411831,19
307,1168,native,0.262404967,41.527863,-81.411831,37
89,1167,adventive,0.25280362,41.292883,-81.789311,17
90,1167,native,0.25280362,41.292883,-81.789311,47
26,1166,adventive,0.225547879,41.413752,-81.874119,4
27,1166,native,0.225547879,41.413752,-81.874119,35
178,1164,adventive,0.109418462,41.432428,-81.605706,19
