"","plot","year","native","month","richness.plot","mon"
"1",1066,2010,"adventive","August",1,1
"2",1071,2010,"adventive","August",4,1
"3",1074,2010,"adventive","August",2,1
"4",1075,2010,"adventive","August",9,1
"5",1077,2010,"adventive","August",6,1
"6",1080,2010,"adventive","August",13,1
"7",1082,2010,"adventive","August",9,1
"8",1083,2010,"adventive","August",3,1
"9",1086,2010,"adventive","August",10,1
"10",1087,2010,"adventive","August",1,1
"11",1089,2010,"adventive","August",1,1
"12",1090,2010,"adventive","August",7,1
"13",1091,2010,"adventive","August",5,1
"14",1092,2010,"adventive","August",3,1
"15",1093,2010,"adventive","August",3,1
"16",1094,2010,"adventive","August",7,1
"17",1098,2010,"adventive","August",26,1
"18",1099,2010,"adventive","August",2,1
"19",1100,2010,"adventive","August",4,1
"20",1136,2010,"adventive","August",1,1
"21",1388,2010,"adventive","August",3,1
"22",3364,2010,"adventive","August",1,1
"23",3365,2010,"adventive","August",2,1
"24",3367,2010,"adventive","August",5,1
"25",3368,2010,"adventive","August",4,1
"26",3376,2010,"adventive","August",2,1
"27",3377,2010,"adventive","August",8,1
"28",3381,2010,"adventive","August",12,1
"29",3385,2010,"adventive","August",6,1
"30",3386,2010,"adventive","August",1,1
"31",3389,2010,"adventive","August",10,1
"32",3396,2010,"adventive","August",5,1
"33",3409,2010,"adventive","August",5,1
"34",3420,2010,"adventive","August",7,1
"35",3596,2010,"adventive","August",1,1
"36",3668,2010,"adventive","August",5,1
"37",1066,2010,"native","August",39,1
"38",1070,2010,"native","August",21,1
"39",1071,2010,"native","August",30,1
"40",1074,2010,"native","August",17,1
"41",1075,2010,"native","August",42,1
"42",1077,2010,"native","August",21,1
"43",1080,2010,"native","August",32,1
"44",1081,2010,"native","August",15,1
"45",1082,2010,"native","August",58,1
"46",1083,2010,"native","August",16,1
"47",1086,2010,"native","August",34,1
"48",1087,2010,"native","August",14,1
"49",1089,2010,"native","August",29,1
"50",1090,2010,"native","August",25,1
"51",1091,2010,"native","August",12,1
"52",1092,2010,"native","August",22,1
"53",1093,2010,"native","August",20,1
"54",1094,2010,"native","August",23,1
"55",1097,2010,"native","August",24,1
"56",1098,2010,"native","August",72,1
"57",1099,2010,"native","August",24,1
"58",1100,2010,"native","August",15,1
"59",1136,2010,"native","August",11,1
"60",1388,2010,"native","August",17,1
"61",3364,2010,"native","August",15,1
"62",3365,2010,"native","August",37,1
"63",3367,2010,"native","August",36,1
"64",3368,2010,"native","August",44,1
"65",3369,2010,"native","August",14,1
"66",3370,2010,"native","August",53,1
"67",3376,2010,"native","August",18,1
"68",3377,2010,"native","August",28,1
"69",3381,2010,"native","August",35,1
"70",3385,2010,"native","August",22,1
"71",3386,2010,"native","August",16,1
"72",3389,2010,"native","August",47,1
"73",3396,2010,"native","August",42,1
"74",3409,2010,"native","August",19,1
"75",3420,2010,"native","August",22,1
"76",3596,2010,"native","August",17,1
"77",3668,2010,"native","August",32,1
"78",1003,2010,"adventive","July",1,2
"79",1014,2010,"adventive","July",5,2
"80",1018,2010,"adventive","July",5,2
"81",1021,2010,"adventive","July",8,2
"82",1030,2010,"adventive","July",1,2
"83",1034,2010,"adventive","July",8,2
"84",1039,2010,"adventive","July",9,2
"85",1040,2010,"adventive","July",4,2
"86",1041,2010,"adventive","July",10,2
"87",1043,2010,"adventive","July",7,2
"88",1044,2010,"adventive","July",3,2
"89",1045,2010,"adventive","July",8,2
"90",1047,2010,"adventive","July",1,2
"91",1048,2010,"adventive","July",8,2
