"","SPCODE","taxa","genus","species","variety","tolerance","native","family","hydrophyte","form","habit","group","shade","clemet.tier","odnr.class","ohio.noxious","clemet.priority","plot","month","year","species.name","cover.mn"
"1","ACARHO","Acalypha_rhomboidea","Acalypha","rhomboidea",NA,"tolerant","native","Euphorbiaceae","upland","forb","AN","DI","partial",NA,NA,NA,NA,1098,"August",2010,"Acalypha_rhomboidea",0.005
"2","ACARHO","Acalypha_rhomboidea","Acalypha","rhomboidea",NA,"tolerant","native","Euphorbiaceae","upland","forb","AN","DI","partial",NA,NA,NA,NA,1388,"August",2010,"Acalypha_rhomboidea",0.0025
"3","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1039,"July",2010,"Acer_negundo",16
"4","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1010,"June",2010,"Acer_negundo",13.75
"5","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1058,"July",2010,"Acer_negundo",85
"6","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3980,"September",2010,"Acer_negundo",0.75
"7","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1054,"July",2010,"Acer_negundo",43.75
"8","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,3389,"August",2010,"Acer_negundo",13.5
"9","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1043,"July",2010,"Acer_negundo",19
"10","ACENEG","Acer_negundo","Acer","negundo",NA,"midrange","native","Aceraceae","FAC","tree","W","DI","tree",NA,NA,NA,NA,1052,"July",2010,"Acer_negundo",30
