"","plot","native","distance","rich","ln.rich"
"1",3980,"adventive",0.0633562899876516,8,2.07944154167984
"3",1116,"adventive",0.0870471826137934,12,2.484906649788
"5",1180,"adventive",0.0880979020011266,10,2.30258509299405
"7",1052,"adventive",0.103853271975416,6,1.79175946922805
"9",1164,"adventive",0.109418462354395,19,2.94443897916644
"11",1072,"adventive",0.12724035709632,7,1.94591014905531
"13",3484,"adventive",0.12819961312344,1,0
"16",1024,"adventive",0.130907002719488,6,1.79175946922805
"18",1136,"adventive",0.134440580874968,1,0
"20",3596,"adventive",0.135512016917317,1,0
"23",3668,"adventive",0.139832220528744,5,1.6094379124341
"25",1388,"adventive",0.140642536641657,3,1.09861228866811
"27",3420,"adventive",0.141537528313159,7,1.94591014905531
"29",1148,"adventive",0.1484052682387,9,2.19722457733622
"31",3376,"adventive",0.14894395904836,2,0.693147180559945
"33",1008,"adventive",0.149928983178702,2,0.693147180559945
"35",1150,"adventive",0.15851190278651,3,1.09861228866811
"37",1086,"adventive",0.158594901639363,10,2.30258509299405
"40",1102,"adventive",0.164958978906872,9,2.19722457733622
"42",1022,"adventive",0.16549939850646,5,1.6094379124341
"44",1143,"adventive",0.172745188575544,6,1.79175946922805
"46",1030,"adventive",0.17315433117597,1,0
"48",1094,"adventive",0.176312634969811,7,1.94591014905531
"50",1015,"adventive",0.177764120634621,3,1.09861228866811
"52",1191,"adventive",0.177887446088814,9,2.19722457733622
"54",1031,"adventive",0.17811338113124,1,0
"56",1004,"adventive",0.180104026987187,11,2.39789527279837
"58",3396,"adventive",0.180813648016403,5,1.6094379124341
"60",1127,"adventive",0.181394768992931,1,0
"62",1159,"adventive",0.182596862845449,11,2.39789527279837
"64",1171,"adventive",0.184888491056093,8,2.07944154167984
"66",1132,"adventive",0.185331953707393,10,2.30258509299405
"68",1043,"adventive",0.186064534194457,7,1.94591014905531
"70",1068,"adventive",0.186755495581796,7,1.94591014905531
"73",1154,"adventive",0.188923405818327,2,0.693147180559945
"75",1047,"adventive",0.189576707865188,1,0
